PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J0024-7204M,00:23:54.4899,-72:05:30.756,51600,271.98724,2.8421E-15,51600,24.43,,2.553,1.044,,"GC:47Tuc(NGC104),XRS",pksgc,0.0036766431,-3.8418665E-20,,,,,,1.2,,7E-27,,,,,,UTC(NIST),DE421,B0021-72M,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.977041249999999,-72.09187666666666"
J0024-7204N,00:24:09.1880,-72:04:28.8907,51600,327.4443,2.3435E-15,51600,24.574,,2.589,1.051,,"GC:47Tuc(NGC104),XRS",pksgc,0.0030539546,-2.1856976E-20,,,,,,,,-9E-27,,,,,,UTC(NIST),DE421,B0021-72N,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.038283333333333,-72.0746918611111"
J0024-7204O,00:24:04.65254,-72:04:53.7670,51600,378.30878,-4.34352E-15,51600,24.356,,2.537,1.041,,"GC:47Tuc(NGC104),XRS",pksgc,0.0026433433,3.0349325E-20,,,,,,,,4.38E-26,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,UL[fck+03],BTX,,0.000085119565,-7.3E-20,-1E-28,0.0451533,,,4.521,,,,,,,,51600.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.019385583333333,-72.08160194444444"
J0024-7204P,00:24:20,-72:04:10,,274.49747,-5E-14,51000,24.29,,2.523,1.038,,GC:47Tuc(NGC104),pksgc,0.0036430208,6.6358006E-19,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,,UL[clf+00],BT,,,,,0.038008,,,4.521,0.1472489,,,,,,,52912.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.083333333333333,-72.06944444444444"
J0024-7204Q,00:24:16.4909,-72:04:25.1644,51600,247.94324,-2.0907E-15,51600,24.265,,2.517,1.037,,"GC:47Tuc(NGC104),XRS",pksgc,0.0040331814,3.4008478E-20,,,,,,,,7E-28,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,He[rvh+15],ELL1,51600.285,,,,1.4622043,0.000062,-0.000051,4.521,1.189084,,,,,,,,-1E-12,,,,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.068712083333333,-72.07365677777777"
J0024-7204R,00:24:07.5851,-72:04:50.3954,51600,287.3181,-1.22467E-14,51600,24.361,,2.538,1.041,,"GC:47Tuc(NGC104),XRS",pksgc,0.0034804628,1.4835188E-19,,,,,,,,-8.5E-27,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,UL[clf+00],ELL1,51600.004,,,,0.033363,-0.0001,-0.00003,4.521,0.066231474,,,,,,,,1.9E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.031604583333333,-72.08066538888889"
J0024-7204S,00:24:03.9794,-72:04:42.3530,51600,353.3062,1.50466E-14,51600,24.376,,2.542,1.042,,"GC:47Tuc(NGC104),XRS",pksgc,0.002830406,-1.2054128E-19,,,,,,,,-7.8E-27,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,He[rvh+15],ELL1,51600.625,,,,0.7662686,0.000091,0.000387,4.521,1.2017243,,,,,,,,-4.9E-12,,,0.331,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.016580833333333,-72.07843138888889"
J0024-7204T,00:24:08.5491,-72:04:38.932,51600,131.7787,-5.1021E-15,51600,24.41,,2.55,1.043,,"GC:47Tuc(NGC104),XRS",pksgc,0.0075884797,2.9380455E-19,,,,,,,,-3E-27,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,He[cpf+15],ELL1,51600.57,,,,1.338501,0.000355,0.000185,4.521,1.1261767,,,,,,,,2.5E-12,,,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.035621249999999,-72.07748111111111"
J0024-7204U,00:24:09.8366,-72:03:59.6882,51600,230.26477,-5.04916E-15,51600,24.337,,2.534,1.04,,"GC:47Tuc(NGC104),XRS",pksgc,0.0043428265,9.522788E-20,,,,,,,,1.88E-26,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,He[egh+01],ELL1,51600.39,,,,0.5269494,-0.000029,0.000143,4.521,0.42910567,,,,,,,,6.6E-13,,,1.17,0.1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.040985833333333,-72.06658005555555"
J0024-7204V,00:24:05.67,-72:04:52.62,,207.89296,,51000,24.105,,2.48,1.029,,GC:47Tuc(NGC104),pksgc,0.0048101675,,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,,,BTX,,0.000054560922,-2.34E-18,2.34E-26,0.74191,,,4.521,,,,,,,,51803.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.023624999999999,-72.08128333333333"
J0024-7204W,00:24:06.058,-72:04:49.088,50000,425.1078,1.56415E-14,50000,24.367,,2.539,1.041,,"GC:47Tuc(NGC104),XRS",pksgc,0.0023523446,-8.655263E-20,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,TDB,MS[egc+02],BTX,,0.00008705948,-1.26E-18,4E-26,0.243443,,,4.521,,,,,,,,51585.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.025241666666666,-72.08030222222222"
