PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J1755-2534,17:55:49.82,-25:34:39,,4.2819104,-2.05462E-13,52188,590,0.17,4.399,7.236,,,pksmb,0.23354061,1.12061485E-14,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.9575833333333,-25.5775"
J1755-2550,17:55:38.400,-25:50:22.0,,,,57329,750.9,0.2,4.891,10.27,,,htru_pks,0.31519607,2.4337E-15,,,,,,16,25.7,,,,,,,,DE421,,,,,,,,,,,,,NS(?)[nkt+18],DD,,,,,12.28441,,,,9.696334,0.04,,,,,,56904.125,,0.08935,129.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.90999999999997,-25.839444444444442"
J1755-26,17:55:16.29,-26:00,,,,56827,405,0.14,3.946,5.184,,,htru_pks,0.43087214,1.228E-14,,,,,,16.3,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.817875,-26.0"
J1755-2725,17:55:41.88,-27:25:45,,3.8174543,-2E-16,51492,115.1,0.5,2.704,2.424,,,"pksmb,htru_pks,gbncc",0.26195467,1.37240505E-17,,,,,-1.74,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.92449999999997,-27.429166666666667"
J1755-33,17:55:12,-33:31,,,,52080.6,266.5,0.2,14.084,5.8,,,pksmb,0.959466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.8,-33.516666666666666"
J1755-3716,17:55:35.4462,-37:16:10.78,,78.21012,-1.9E-16,55958.8,167.566,0.524,8.177,3.934,,,htru_pks,0.012786069,3.1061876E-20,59083.68,54,,,-1.37,3.9,,,,,,,,,,,,,,,,,,,,,,CO[nbb+14],ELL1,55958.79,,,,10.645131,-0.000007,0.000012,,11.515606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268.89769249999995,-37.26966111111111"
J1756+1822,17:56:17.583,18:22:55.3,,1.3440844,-9.27E-16,53400,70.8,0.014,25,4.151,,,misc,0.7440009,5.131291E-16,,70,0.7,,,32,,,,,,,0,,,,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.0732625,18.38202777777778"
J1756-2225,17:56:25.56,-22:25:48,,2.469256,-3.2127E-13,52360,329,0.25,4.779,4.941,,,"pksmb,htru_pks",0.4049803,5.2691185E-14,55000,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.1065,-22.43"
J1756-2251,17:56:46.633812,-22:51:59.35,,35.135075,-1.256079E-15,53563,121.2312,1.087,2.807,2.48,,,"pksmb,htru_pks",0.028461587,1.0175018E-18,58980.836,-10.78,,,-1.14,0.78,1.6,,,,0.49,1.33,,,,,-2.42,0,,,,,,,,1.05,,NS[fsk+14],DD,,,,,2.756457,,,0.73,0.3196339,,,,,,,53562.78,-2.29E-13,0.1805694,327.8245,2.5824,1.6,,,,,,,,,,,,,,,0.93,,,,,,,,,0.001148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.19430755,-22.86648611111111"
J1756-2435,,,49613,1.4914689,-6.33399E-16,49613,367.1,2,3.834,5.665,,,"jb2,pks1,pksmb,htru_",0.67047995,2.8474032E-16,,-130,8.4,,-1.5,25,39,-1.5E-28,,,,,,,,B1753-24,,,,3.2,0.0295,269.31,-1.1554,,,,,,,,,,,,,,,,0.4,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1756-25,17:56:42,-25:28,,,,56657,706,0.2,4.768,9.554,,,htru_pks,0.855986,,,,,,,25.4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.17499999999995,-25.466666666666665"
J1756-2619,17:57:19.39,-26:19:08,,,,54223.2,534,0.1,5.112,7.157,,,pksmb,0.72451377,1.238E-15,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.33079166666664,-26.31888888888889"
J1757-1500,17:57:12.752,-15:00:28.5,,,,57038,150,0.09,4.222,3.304,,,htru_pks,0.17935401,1.5039E-15,,,,,,3.3,4.78,,,,,,,,,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.3031333333333,-15.007916666666667"
J1757-16,17:57:25,-16:26,,,,,132.2,,3.367,2.775,,,pksmb,0.451273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.35416666666663,-16.433333333333334"
J1757-1854,17:57:03.78438,-18:54:03.376,,,,57701,378.111,0.142,19.549,7.378,,,htru_pks,0.021497231,2.6303E-18,59122.625,702.6,,,-1.4,0.705,1.8,,,,,,,,DE421,,,,,,,,,,,,TCB,NS[cck+18],DDH,,,,,2.237805,,,,0.18353784,,,,,,,57700.926,-5.3E-12,0.6058142,279.3409,10.3651,,,,,,,,,,,,,,,,,,,,,,0.0000046,0.9,,0.003587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.26576824999995,-18.900937777777777"
J1757-2223,17:57:50.772,-22:23:49,,5.39636,-2.2771E-14,51495,239.3,1,3.727,4.1,,,"pksmb,htru_pks",0.1853101,7.8195234E-16,,-145.2,,,-1.5,1.3,5,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,0.34,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.46155,-22.396944444444443"
J1757-2421,,,53623,4.271573,-2.3729E-13,53623,179.454,7.2,3.124,4.393,HE[sbc+19],GRS:4FGL_J1757.9-241,"misc,mol1,jb2,pks1,p",0.2341058,1.3004803E-14,,-27,20,,-1.27,10,19,3.4E-23,,1,,,5.3,TT(BIPM2013),DE405,B1754-24,,,,18.1,0.0004116,269.42804,-0.9307,-17,,,TCB,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1757-2745,17:57:54.7826,-27:45:40.16,,56.538013,4.17E-17,57575,334,0.07,8.208,5.227,,,htru_pks,0.017687215,-1.3045327E-20,,,,,,0.49,0.88,-4.7E-26,-5.1E-33,,,,,,,,-11.4,54,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.4782608333333,-27.761155555555554"
J1757-5322,17:57:15.1615,-53:22:26.387,,,,51570,30.8047,1.17,0.945,0.959,,,"pkssw,htru_pks",0.008869961,2.63E-20,59058.715,70.15,,,-1.53,0.43,2.3,,,,,,,,,,,,,,,,,,,,,CO[jcv+06],ELL1,51394.11,,,,2.086527,0.0000038,-0.0000013,,0.45331123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.3131729166666,-53.37399638888889"
J1758-1931,17:58:05.60,-19:31:41,,1.4439358,-3.527E-14,52353,207,0.38,4.544,3.763,,,"pksmb,htru_pks",0.6925516,1.691647E-14,,295,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.52333333333326,-19.528055555555554"
J1758-2206,17:58:44.45,-22:06:45,,2.3240776,-5.166E-15,51495,678,0.41,15.065,10.455,,,"pksmb,htru_pks",0.43027824,9.564299E-16,,,,,-3.36,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.68520833333326,-22.1125"
J1758-2540,17:58:31.94,-25:40:49,,0.47454914,-3.5E-16,50975,218.2,0.65,3.41,3.73,,,"pksmb,htru_pks",2.1072633,1.5541956E-15,,-207,,,-2.73,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.6330833333333,-25.68027777777778"
J1758-2630,17:58:34.27,-26:30:10,,0.8313288,-3.57E-15,51244,328,0.41,4.35,4.878,,,"pksmb,htru_pks",1.2028935,5.165621E-15,,,,,-1.3,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.6427916666666,-26.502777777777776"
J1758-2846,17:58:15.41,-28:46:02,,1.3042803,-1.6E-16,53253,66.6,0.2,2.006,1.766,,,"pksmb,htru_pks",0.76670635,9.405418E-17,,,,,,4.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.5642083333333,-28.76722222222222"
J1758+3030,17:58:25.88,30:30:24.0,,,,49800,35.0674,,3.279,1.99,,,"ar4,gb4,lotaas,gbncc",0.9472558,7.2E-16,56784,79.54,8.9,66,-1.6,22,42,,,,,,,,,,,,26,4.5,0.00000052,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,7.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.60783333333325,30.506666666666668"
J1759-1029,17:59:34.30,-10:29:57,,,,55348,115.4,,2.519,2.839,,,"htru_pks,gbncc",2.5122628,1.574E-14,,,,,,185,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.8929166666666,-10.499166666666666"
J1759-1736,17:59:28.16,-17:36:10,,1.2524241,-4E-16,53156,206,0.12,4.917,3.975,,,pksmb,0.79845154,2.5500996E-16,,,,,,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.86733333333336,-17.602777777777778"
J1759-1903,17:59:41.76,-19:03:19,,1.3670437,-5.73E-15,52003,467,0.16,21.806,8.486,,,"pksmb,htru_pks",0.7315055,3.0661246E-15,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.924,-19.05527777777778"
J1759-1940,17:59:57.040,-19:40:29,,3.925874,-1.44E-15,51491,302.7,0.9,7.987,4.921,,,"pksmb,htru_pks",0.25472036,9.343073E-17,,775,,,-2.54,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.98766666666666,-19.674722222222222"
J1759-1956,17:59:35.42,-19:56:08,,0.35169303,-2.297E-15,51495,236.4,0.41,4.62,4.085,,,"pksmb,htru_pks",2.8433888,1.8570923E-14,,,,,-2,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.89758333333333,-19.935555555555556"
J1759-2205,17:59:24.164,-22:05:33,57600,2.1692843,-5.10746E-14,57600,177.157,1.3,3.256,3.572,,,"mol2,jb2,pks1,pks70,",0.46098152,1.0853555E-14,,6,20,,-1.8,3.9,11,0,,,,,,,,B1756-22,,,,11,0.0000657,,,-22,,,TCB,,,,,,,,,,,,0.5,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.85068333333334,-22.092499999999998"
J1759-2302,17:59:49.23,-23:02:08,,1.233475,-1.6346E-14,51115,889,1.3,5.782,11.558,,,"pksmb,htru_pks",0.8107177,1.0743624E-14,,1575,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.95512499999995,-23.035555555555558"
J1759-2307,17:59:30.945,-23:07:17,,1.789265,-1.2044E-14,51110,812.6,0.7,5.345,10.863,,,"pksmb,htru_pks",0.5588887,3.7620223E-15,,743,,,,22.4,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.8789375,-23.12138888888889"
J1759-24,17:59:24,-24:02,,,,56657,772,0.5,4.87,10.982,,,htru_pks,1.457739,,,,,,,72.3,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.85,-24.033333333333335"
J1759-2549,17:59:35.12,-25:49:07,,1.0454253,-1.08846E-13,51380,424,0.6,4.842,5.815,,,"pksmb,htru_pks",0.9565485,9.959246E-14,,93,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.89633333333336,-25.81861111111111"
J1759-2922,,,50856,1.7409463,-1.402839E-14,50856,79.42,0.56,2.417,1.955,,,"pks70,pksmb,htru_pks",0.57440025,4.6284663E-15,,197.6,13,,,10,20,8.7E-27,,,,,,,,,,,,3,,269.9571,-5.9294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1759-3107,17:59:22.056,-31:07:21.8,57600,0.9268228,-3.24135E-15,57600,128.3,0.91,3.1,2.836,,,"pksmb,htru_pks,gbncc",1.0789549,3.7733975E-15,,149.5,,,-1.6,14,24,,,,,,,,,,,,,,,,,,,,TDB,,,,,,,,,,,,0.38,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.8419,-31.122722222222222"
J1759+5036,17:59:45.672,+50:36:56.96,,,,57633,7.775,0.12,0.543,0.711,,,gbncc,0.17601635,2.43E-19,,,,,,0.54,1.39,,,,,,,,DE436,,,,,,,,,,,,,NS(?)[amm+21],DD,57633.094,,,,6.82461,,,,2.0429838,,,0.11,,,,,,0.30827,92.142,0.127,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.9403,50.61582222222222"
J1759-5505,17:59:34.16,-55:05:30.9,57000,2.6781497,-3.151E-15,57000,63,0.23,3.096,1.721,,,pks_superb,0.37339213,4.3931771E-16,57000,,,,,10.2,,,,,,,,,DE421,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.89233333333334,-55.09191666666667"
J1800-0125,18:00:22.08,-01:25:30.6,,,,52820,51,0.14,1.529,1.759,,,"misc,htru_pks,gbncc",0.7831855,1.1537E-14,,,,,,28,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.092,-1.4251666666666667"
J1800-2114,18:00:12.3,-21:14:19,,0.5557802,-1.7E-16,52360,641,0.3,16.114,9.629,,,"pksmb,htru_pks",1.7992725,5.503549E-16,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.05125,-21.238611111111112"
J1800-2343,18:00,-23:43,,,,44969,280,,3.559,4.25,,,misc,1.03082,,,,4,,,,,,,,,,,,,B1757-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269.99999999999994,-23.716666666666665"
J1800+5034,,,,1.7289817,-3.5E-16,56500,22.71,,1.937,1.438,,,"gbncc,lotaas",0.5783751,1.1708122E-16,,,23.5,6.6,,14,20,,,,,,,,,,,,,,,270.4263,74.01172,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1801-0357,18:01:22.628,-03:57:55.7,57600,1.0851955,-3.8928E-15,57600,120.37,0.7,5.739,3.599,,,"gb3,pks70,pkssw,htru",0.92149293,3.3055679E-15,,32,17,,-2.6,9,33,0,,1,,,,,,B1758-03,,,,5.5,0.0000044,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.3442833333333,-3.9654722222222225"
J1801-0857A,18:01:50.6097,-08:57:31.853,58650,139.36089,9.9124E-15,54400,182.614,0.036,6.684,4.837,,GC:NGC6517,misc,0.0071756146,-5.1038393E-19,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,,,,,,,,,9.23,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.46087374999996,-8.958848055555555"
J1801-0857B,18:01:50.5642,-08:57:32.87,58670,34.528492,-2.628E-15,58670,182.39,0.012,6.66,4.83,,GC:NGC6517,misc,0.02896159,2.2042972E-18,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,BT,,,,,33.87543,,,9.23,59.836452,,,,0.009,,,54757.723,,0.0382258,-57.8914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4606841666666,-8.959130555555555"
J1801-0857C,18:01:50.73731,-08:57:32.699,58650,267.4727,4.573E-15,54400,182.457,0.012,6.667,4.832,,GC:NGC6517,misc,0.0037386995,-6.3920815E-20,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,,,,,,,,,9.23,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4614054583333,-8.959083055555555"
J1801-0857D,18:01:55.3632,-08:57:24.284,58650,236.6006,-4.3E-16,54400,174.487,,5.835,4.582,,GC:NGC6517,misc,0.004226532,7.6813365E-21,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,,,,,,,,,9.23,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.48067999999995,-8.956745555555555"
J1801-0857E,18:01:50.6232,-08:57:31.29,58650,131.55003,1.794E-14,58871,183.29,,6.759,4.859,,GC:NGC6517,fast_crafts,0.0076016705,-1.03667E-18,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.46092999999996,-8.958691666666667"
J1801-0857F,18:01:50.7409,-08:57:31.27,58650,40.173573,4.312E-15,58871,183.71,,6.806,4.872,,GC:NGC6517,fast_crafts,0.024891986,-2.6717624E-18,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4614204166666,-8.95868611111111"
J1801-0857G,18:01:50.099,-08:57:27.9,58650,19.383087,-3E-17,58871,185.3,,6.984,4.923,,GC:NGC6517,fast_crafts,0.05159137,7.9850084E-20,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,TDB,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.45874583333324,-8.957749999999999"
J1801-0857H,18:01:52.5895,-08:57:53.15,,177.21939,-1.21E-14,58868,179.6,,6.354,4.74,,GC:NGC6517[pqm+21],fast_crafts,0.0056427233,3.8526798E-19,,,,,,,,,,,,,,,DE200,,-1.551,-4.47,,,,,,,,0.115,,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4691229166666,-8.964763888888887"
J1801-0857I,18:01:50.5,-08:57:32,,,,,177.8,,6.173,4.688,BINARY[pqm+21],GC:NGC6517[pqm+21],fast_crafts,0.00325,,,,,,,,,,,,,,,,,,-1.551,-4.47,,,,,,,,0.115,,,,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4604166666666,-8.958888888888888"
J1801-1417,18:01:51.073331,-14:17:34.526,,,,55000,57.2516,1.54,1.105,1.516,"HE[fsk+04,aab+22]",GRS:4FGL_J1801.6-141,"pksmb,FermiAssoc",0.0036250968,5.3E-21,58853.23,232.55,,,-1.8,0.6,1.3,,,,,,,,,,-10.89,-3,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4628055458333,-14.29292388888889"
J1801-1855,18:01:22.3,-18:55:49,,0.39208025,-2.8E-17,51495,484,0.47,20.072,8.275,,,"pksmb,htru_pks",2.5504982,1.8214117E-16,,424,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.3429166666666,-18.93027777777778"
J1801-1909,18:01:46.69,-19:09:36,,0.901937,-5.72E-16,51491,264,0.5,4.897,4.407,,,"pksmb,htru_pks",1.1087248,7.0314296E-16,,,,,-4.23,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.4445416666666,-19.16"
J1801-2115,18:01:32.49,-21:15:18,,2.2825153,-8.1E-17,51887,778.8,0.19,14.873,11.181,,,pksmb,0.43811315,1.5547396E-17,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.38537499999995,-21.255"
J1801-2154,18:01:08.68,-21:54:07.15,55385,2.6645226,-1.13721E-13,55385,386,0.21,4.132,5.299,,,"pksmb,htru_pks",0.37530175,1.6017762E-14,55000,160,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.28616666666665,-21.90198611111111"
J1801-2304,18:01:19.81488,-23:04:44.637,57259,2.4048457,-6.531075E-13,54000,1067.85,7,6.431,12.554,,SNR:W28(?)[fkv93],"misc,pks1,pksmb,htru",0.4158271,1.12930234E-13,58650,-1124,,,-1.7,128.3,265,1.12E-24,,13,3,5,21.8,,,B1758-23,,,,,0.547,,,,,,,,,,,,,,,,4,,1.6,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,"270.33256199999994,-23.079065833333335"
J1801-2451,18:01:00.016,-24:51:27.5,53348,8.004853,-8.1959E-12,52503,291.55,1.46,3.803,5.242,,GRS:4FGL_J1801.2-245,"misc,pksmb,htru_pks",0.12492421,1.279057E-13,55000,605.7,7.8,,-0.8,4.8,12,4.01E-22,,7,,,,,,B1757-24,-11,-1,,2.3,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.2500666666666,-24.85763888888889"
